# ui.json wrong-script values removed from the COMPLETE upload (→ English fallback).
# Re-translate these with TranslateGemma. All other keys are present & clean.

## ar  (15)
  import.choice.title	استيراد 제출
  status.offline	离线 — 仅保存的课程
  toast.progress_cleared	↺ 진행清除

## ru  (8)
  furigana.show	ふ Показать фуригана
  lesson.type.ai_error_hunt	AI Error Hunt
  lesson.ai_error_hunt.desc	AI глупо. Вы能找到人类发现的错误吗？
  lesson.ai_error_hunt.no_ai_story	没有存储AI故事。
  lesson.ai_error_hunt.editor_hint	添加您编辑的原因：.
  lesson.type.math	🔢 数学
  ex.badge.math_order	🔢 排序
  ex.badge.math_calc	🔢 计算

## th  (19)
  form.generate	生成课程 →
  toast.link_copied	🔗 ลิงค์已被复制!
  lesson.gen_topic_title_title	生成课程标题
  form.style.funny	😂 幽默
  ex.mcq_plural.q	 "{word}" ในรูป множествมีอย่างไร?
  ex.type_plural.q	เขียนรูป множествของ "{word}"
  lesson.ai_error_hunt.desc	AI โง่ๆ นะ 你能找到人类发现的错误吗？
  pdf.generate_all	生成故事情节
  pdf.sel_clear	清除所有
  form.upload_doc	📎 업로드 문서
  form.clear_text	清除
  sl.clear_progress	清除进度
  sl.delete	删除
  sl.recreate_btn	重新创建所有课程
  sl.clear_progress_confirm	是否清除本故事情节中每一章的进度？
  sl.recreate_failed	重新创建失败
  qc.editor.flag_correct_placeholder	正确版本（可选）
  qc.editor.user_suggests	您建议:
  ex.flag_comment_ph	看起来哪里不对？（可选）

## uk  (4)
  diff.advanced	🔴 Від错进阶 — слівні речення, ідіоматична мова
  lesson.type.ai_error_hunt	AI Error Hunt
  ex.syn.q_synonyms	相似于 {word}
  ex.syn.q_antonyms	反义于 {word}

## zh  (2)
  furigana.show	ふ显示furigana
  form.arc_script_lbl	lec Teach the script per chapter
